Date,Time,Rg,Ratm,Rn,T_soilref,Ta,RH,uref,LAI_total,LAI_green,displacement_height,z0_soil,z0_canopy,zh,zref,Rain,O3_concentration,Pesticid_concentration,Pest_soil,NH3_concentration,GammaLeaf_NH3,GammaSoil_NH3,R_litter_NH3
[dd/mm/yyy,,[W.m-2],[W.m-2],[W.m-2],[ｰC],[ｰC],[%],[m.s-1],[m2.m-2],[m2.m-2],[m],[m],[m],[m],[m],[mm],[ｵg.m-3],[ｵg.m-3],[ｵg.m-3],[ｵg.m-3],[-],[-],[s.m-1]
9/15/2008,0:00:00,-2.615,358.167855,-67.12,16.93,8.92,88.6,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,26.986734,0,0,0,250,3000,0
9/15/2008,0:30:00,-2.663,359.643863,-67.41,16.9,9.21,88.4,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,21.272562,0,0,0,250,3000,0
9/15/2008,1:00:00,-2.756,360.255958,-68.05,16.865,9.33,87.9,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,14.972155,0,0,0,250,3000,0
9/15/2008,1:30:00,-2.911,361.073299,-63.05,16.82,9.49,88,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,16.864317,0,0,0,250,3000,0
9/15/2008,2:00:00,-2.977,359.440005,-61,16.77,9.17,88,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,24.66009,0,0,0,250,3000,0
9/15/2008,2:30:00,-2.859,356.747059,-60.22,16.715,8.64,90.1,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,18.882883,0,0,0,250,3000,0
9/15/2008,3:00:00,-2.896,355.633688,-63.37,16.66,8.42,91.3,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,19.865234,0,0,0,250,3000,0
9/15/2008,3:30:00,-2.316,350.255772,-57.04,16.595,7.35,92.4,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,23.704826,0,0,0,250,3000,0
9/15/2008,4:00:00,-1.771,347.202394,-58.57,16.525,6.737,93.9,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,20.980884,0,0,0,250,3000,0
9/15/2008,4:30:00,-1.855,348.90842,-56.27,16.46,7.08,94.5,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,19.308355,0,0,0,250,3000,0
9/15/2008,5:00:00,-2.076,351.256323,-54.91,16.39,7.55,94.5,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,14.251741,0,0,0,250,3000,0
9/15/2008,5:30:00,1.67,350.305749,-48.4,16.305,7.36,94.1,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,21.894387,0,0,0,250,3000,0
9/15/2008,6:00:00,50.08,349.506762,-14.84,16.23,7.2,94.3,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,16.637767,0,0,0,250,3000,0
9/15/2008,6:30:00,139.7,350.005968,55.76,16.15,7.3,94.1,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,15.905811,0,0,0,250,3000,0
9/15/2008,7:00:00,247.9,354.069273,122.1,16.07,8.11,93.8,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,30.800144,0,0,0,250,3000,0
9/15/2008,7:30:00,333.6,362.045696,169.4,15.99,9.68,89.9,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,48.386405,0,0,0,250,3000,0
9/15/2008,8:00:00,379.4,368.02511,201.4,15.9,10.84,82.2,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,62.234155,0,0,0,250,3000,0
9/15/2008,8:30:00,463.7,375.129436,260,15.82,12.2,75.4,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0.2,71.716806,0,0,0,250,3000,0
9/15/2008,9:00:00,567.2,381.856028,334.5,15.745,13.47,65.6,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,76.840919,0,0,0,250,3000,0
9/15/2008,9:30:00,660.3,384.207467,413.6,15.67,13.91,62.36,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,77.852283,0,0,0,250,3000,0
9/15/2008,10:00:00,645.9,388.186629,406.6,15.6,14.65,58.6,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,80.316099,0,0,0,250,3000,0
9/15/2008,10:30:00,699.9,391.381285,436.8,15.55,15.24,53.78,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,81.787799,0,0,0,250,3000,0
9/15/2008,11:00:00,791,396.456916,525.2,15.505,16.17,47.83,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,82.550923,0,0,0,250,3000,0
9/15/2008,11:30:00,477.8,396.895824,316.2,15.475,16.25,44.87,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,83.443875,0,0,0,250,3000,0
9/15/2008,12:00:00,469,396.676325,281.5,15.465,16.21,46.44,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,82.909181,0,0,0,250,3000,0
9/15/2008,12:30:00,443.2,397.005608,261.1,15.465,16.27,45.26,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,83.838108,0,0,0,250,3000,0
9/15/2008,13:00:00,458.7,397.115414,266.8,15.485,16.29,44.07,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,84.099497,0,0,0,250,3000,0
9/15/2008,13:30:00,368.6,398.489919,208.1,15.52,16.54,45.12,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,85.340106,0,0,0,250,3000,0
9/15/2008,14:00:00,237.8,396.018373,127,15.56,16.09,49.2,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,86.221093,0,0,0,250,3000,0
9/15/2008,14:30:00,239.7,395.799238,125.5,15.615,16.05,49.16,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,87.792408,0,0,0,250,3000,0
9/15/2008,15:00:00,158.8,395.470706,77.7,15.68,15.99,49.99,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,87.960975,0,0,0,250,3000,0
9/15/2008,15:30:00,149.2,393.776546,71.5,15.745,15.68,52.64,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,88.639124,0,0,0,250,3000,0
9/15/2008,16:00:00,135.9,393.558342,60.69,15.815,15.64,54.12,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,88.47541,0,0,0,250,3000,0
9/15/2008,16:30:00,94.9,391.652922,32.58,15.885,15.29,56.47,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,88.010513,0,0,0,250,3000,0
9/15/2008,17:00:00,40.43,390.187761,1.789,15.955,15.02,58.46,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,88.269294,0,0,0,250,3000,0
9/15/2008,17:30:00,16.38,388.402596,-14.15,16.02,14.69,60.96,2.92332,0.0001,0.0001,0.015075,0.02,0.00201,0.0201,3.17,0,86.134103,0,0,0,250,3000,0
