Date,Time,Rg,Ratm,Rn,T_soilref,Ta,RH,uref,LAI_total,LAI_green,displacement_height,z0_soil,z0_canopy,zh,zref,Rain,O3_concentration,Pesticid_concentration,Pest_soil,NH3_concentration,GammaLeaf_NH3,GammaSoil_NH3,R_litter_NH3,SWC
[dd/mm/yyy,,[W.m-2],[W.m-2],[W.m-2],[ｰ,[ｰ,[%],[m.s-1],[m2.m-2],[m2.m-2],[m],[m],[m],[m],[m],[mm],[ｵg.m-,[ｵg.m-,[ｵg.m-,[ｵg.m-,[-],[-],[s.m-1],
1/1/2012,0:00:00,,,0,,11.9,93,4.9,,,,,,,,0,26.986734,0,0,0,250,3000,0,0.250624467
1/1/2012,1:00:00,,,0,,11.7,95,4.3,,,,,,,,0,21.272562,0,0,0,250,3000,0,0.250605415
1/1/2012,2:00:00,,,0,,11.8,94,3.7,,,,,,,,0,14.972155,0,0,0,250,3000,0,0.250423353
1/1/2012,3:00:00,,,0,,11.7,96,3.5,,,,,,,,0,16.864317,0,0,0,250,3000,0,0.250379517
1/1/2012,4:00:00,,,0,,11.8,95,4.2,,,,,,,,0,24.66009,0,0,0,250,3000,0,0.250371765
1/1/2012,5:00:00,,,0,,11.9,94,4,,,,,,,,0,18.882883,0,0,0,250,3000,0,0.25035161
1/1/2012,6:00:00,,,0,,11.7,95,4.9,,,,,,,,0,19.865234,0,0,0,250,3000,0,0.250070657
1/1/2012,7:00:00,,,0,,11.6,97,3.6,,,,,,,,0.2,23.704826,0,0,0,250,3000,0,0.250297867
1/1/2012,8:00:00,,,0,,11.8,95,5,,,,,,,,0,20.980884,0,0,0,250,3000,0,0.25041762
1/1/2012,9:00:00,,,0,,11.8,95,5,,,,,,,,0,19.308355,0,0,0,250,3000,0,0.250513423
1/1/2012,10:00:00,,,27.81,,12.1,95,4.7,,,,,,,,0.2,14.251741,0,0,0,250,3000,0,0.250526215
1/1/2012,11:00:00,,,49.19,,12.3,95,5.6,,,,,,,,0,21.894387,0,0,0,250,3000,0,0.250495732
1/1/2012,12:00:00,,,59.89,,12.9,90,5.4,,,,,,,,0,16.637767,0,0,0,250,3000,0,0.250440754
1/1/2012,13:00:00,,,59.89,,13,89,5.6,,,,,,,,0,15.905811,0,0,0,250,3000,0,0.250379517
1/1/2012,14:00:00,,,34.22,,12.6,95,4.6,,,,,,,,0,30.800144,0,0,0,250,3000,0,0.250341141
1/1/2012,15:00:00,,,25.67,,12.8,94,5.2,,,,,,,,0,48.386405,0,0,0,250,3000,0,0.250169404
1/1/2012,16:00:00,,,0,,12.6,95,6.2,,,,,,,,0.2,62.234155,0,0,0,250,3000,0,0.250191177
1/1/2012,17:00:00,,,0,,12.4,94,5.5,,,,,,,,0.2,71.716806,0,0,0,250,3000,0,0.250379517
